run_number,timestamp,run_type,target_type,comment,deadtime_fraction,total_events,run_time_seconds,beam_energy_MeV,beam_current_uA,momentum_RHRS_MeV,momentum_LHRS_MeV
5006,2019-03-19T05:15:21,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.07680,5303813,2077.50,2137.74,0.0559014,1000.00,0.00
5004,2019-03-19T04:31:12,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.07080,7441301,3063.84,2137.74,0.0556555,1000.00,0.00
5003,2019-03-18T14:25:37,Cosmics,Tungsten 2.8%,SciFi test,1.00000,121,8.34,2138.14,0.0559454,1000.00,0.00
5002,2019-03-18T14:20:48,Cosmics,Tungsten 2.8%,SciFi test,1.00000,523,33.48,2138.14,0.055934,1000.00,0.00
5001,2019-03-18T14:14:58,Cosmics,Tungsten 2.8%,SciFi test,0.03278,7021,466.32,2138.14,0.0559226,1000.00,0.00
5000,2019-03-18T14:04:48,Cosmics,Tungsten 2.8%,SciFi test,1.00000,300,21.48,2138.14,0.0557699,1000.00,0.00
4999,2019-03-18T13:50:17,Cosmics,Tungsten 2.8%,SciFi test,1.00000,6,25.56,2138.14,0.0555824,1000.00,0.00
4998,2019-03-18T08:08:26,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09781,6172687,1826.10,2137.8,22.139,1000.00,0.00
4997,2019-03-18T07:36:05,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09759,7768518,2360.46,2138.14,0.0557187,1000.00,0.00
4996,2019-03-18T06:55:54,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00651,8126822,2214.78,2137.75,54.6737,1000.00,0.00
4995,2019-03-18T06:17:53,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09292,9240916,2857.86,2137.8,53.3369,1000.00,0.00
4994,2019-03-18T05:29:19,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00419,8227413,2278.86,2137.97,52.9441,1000.00,0.00
4993,2019-03-18T04:49:34,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00858,8105934,2178.48,2138.14,0.0559543,1000.00,0.00
4992,2019-03-18T04:12:18,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00361,8973168,2535.12,2137.73,53.2111,1000.00,0.00
4991,2019-03-18T03:29:07,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09861,8629965,2539.20,2138.01,53.3934,1000.00,0.00
4990,2019-03-18T02:45:43,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00909,9748774,2598.12,2137.84,53.4073,1000.00,0.00
4989,2019-03-18T02:01:17,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00800,8341080,2294.64,2137.75,53.7051,1000.00,0.00
4988,2019-03-18T01:21:46,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00987,8657838,2300.28,2137.86,53.0918,1000.00,0.00
4987,2019-03-18T00:42:09,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00451,12722147,3536.10,2137.71,53.3697,1000.00,0.00
