run-number rawfile-number n-CODA-events
3875 0 792733
3875 1 792733
3876 0 88162
3877 0 1414
3878 0 62896
3879 0 55497
3880 0 17409
3882 0 223
3883 0 1321
3884 0 11864
3885 0 57040
3886 0 9330
3887 0 12511
3888 0 17884
3889 0 30153
3891 0 27543
3892 0 6459
3893 0 11091
3894 0 9782
3895 0 11874
3896 0 15405
3897 0 7166
3898 0 8461
4000 0 14
4001 0 5636
4002 0 14
4003 0 9
4004 0 9
4005 0 13
4006 0 17
4007 0 14
4008 0 90
4009 0 13
4010 0 92
4011 0 12720
4012 0 1542133
4013 0 1938720
4014 0 1770826
4015 0 2072224
4016 0 1559751
4017 0 1506837
4018 0 1665817
4019 0 1007318
4020 0 1181840
4021 0 1377959
4022 0 1074703
4023 0 1034356
4024 0 1139401
4025 0 1108786
4026 0 1037355
4027 0 1025625
4028 0 1038351
4029 0 1008029
4030 0 1832600
4031 0 1011353
4032 0 1016067
4033 0 1014294
4034 0 140263
4035 0 853493
4036 0 30
4037 0 51028
4038 0 51009
4039 0 1015980
4040 0 1004724
4041 0 150350
4042 0 1098494
4043 0 866767
4044 0 1033750
4045 0 1015694
4046 0 1018597
4047 0 1013892
4048 0 779865
4049 0 45537
4050 0 1691
4051 0 103616
4052 0 1011740
4053 0 1017183
4054 0 1013572
4055 0 1005956
4056 0 1020639
4057 0 1008752
4058 0 1922952
4059 0 79749
4060 0 101626
4061 0 3033138
4062 0 231026
4063 0 193
4064 0 172269
4065 0 181866
4066 0 266642
4067 0 223232
4068 0 515238
4069 0 317245
4070 0 333972
4071 0 142738
4072 0 54794
4073 0 3204598
4074 0 3975848
4075 0 1735165
4076 0 3068739
4077 0 3086166
4078 0 3002678
4079 0 3049830
4080 0 3049980
4081 0 3021554
4082 0 3007824
4083 0 1337443
4084 0 290
4085 0 1455
4086 0 209637
4087 0 209586
4088 0 159
4089 0 30351
4091 0 90946
4092 0 2945
4093 0 8775
4094 0 23576
4095 0 11445
4096 0 37
4097 0 13441
4098 0 2137
4099 0 3819
4100 0 3665
4102 0 1
4103 0 10548
4104 0 6981
4105 0 2531
4106 0 2965
4107 0 15
4108 0 14868
4109 0 2108
4110 0 58
4111 0 58572
4112 0 24337
4113 0 2101
4114 0 1026
4115 0 2049
4116 0 21
4117 0 11
4118 0 19550
4119 0 46337
4120 0 20084
4121 0 30106
4122 0 12521
4123 0 12094
4124 0 27588
4125 0 17837
4126 0 1
4127 0 1
4128 0 103
4129 0 2561
4130 0 13877
4131 0 8571
4132 0 9772
4133 0 172455
4133 1 172455
4133 2 172455
4134 0 17406
4135 0 15985
4136 0 3551
4137 0 30177
4138 0 22586
4139 0 25241
4140 0 3022
4141 0 5382
